x_rel,y_rel
-1.7552885352e+12,-5.3033173980e+11
-1.7580574394e+12,-5.3179155534e+11
-1.7608258932e+12,-5.3325122202e+11
-1.7635938976e+12,-5.3471073986e+11
-1.7663614535e+12,-5.3617010888e+11
-1.7691285619e+12,-5.3762932907e+11
-1.7718952239e+12,-5.3908840047e+11
-1.7746614405e+12,-5.4054732307e+11
-1.7774272125e+12,-5.4200609689e+11
-1.7801925410e+12,-5.4346472194e+11
-1.7829574270e+12,-5.4492319822e+11
-1.7857218714e+12,-5.4638152574e+11
-1.7884858750e+12,-5.4783970450e+11
-1.7912494390e+12,-5.4929773451e+11
-1.7940125642e+12,-5.5075561577e+11
-1.7967752515e+12,-5.5221334828e+11
-1.7995375018e+12,-5.5367093203e+11
-1.8022993161e+12,-5.5512836704e+11
-1.8050606953e+12,-5.5658565329e+11
-1.8078216402e+12,-5.5804279078e+11
-1.8105821518e+12,-5.5949977951e+11
-1.8133422309e+12,-5.6095661947e+11
-1.8161018784e+12,-5.6241331065e+11
-1.8188610952e+12,-5.6386985304e+11
-1.8216198821e+12,-5.6532624664e+11
-1.8243782399e+12,-5.6678249143e+11
-1.8271361697e+12,-5.6823858740e+11
-1.8298936721e+12,-5.6969453454e+11
-1.8326507480e+12,-5.7115033284e+11
-1.8354073983e+12,-5.7260598227e+11
-1.8381636237e+12,-5.7406148283e+11
-1.8409194252e+12,-5.7551683450e+11
-1.8436748034e+12,-5.7697203725e+11
-1.8464297592e+12,-5.7842709107e+11
-1.8491842935e+12,-5.7988199594e+11
-1.8519384070e+12,-5.8133675183e+11
-1.8546921004e+12,-5.8279135873e+11
-1.8574453747e+12,-5.8424581661e+11
-1.8601982304e+12,-5.8570012545e+11
-1.8629506686e+12,-5.8715428522e+11
-1.8657026898e+12,-5.8860829590e+11
-1.8684542948e+12,-5.9006215745e+11
-1.8712054845e+12,-5.9151586985e+11
-1.8739562596e+12,-5.9296943307e+11
-1.8767066207e+12,-5.9442284708e+11
-1.8794565687e+12,-5.9587611185e+11
-1.8822061043e+12,-5.9732922735e+11
-1.8849552282e+12,-5.9878219355e+11
-1.8877039411e+12,-6.0023501040e+11
-1.8904522438e+12,-6.0168767788e+11
-1.8932001370e+12,-6.0314019595e+11
-1.8959476213e+12,-6.0459256457e+11
-1.8986946976e+12,-6.0604478371e+11
-1.9014413664e+12,-6.0749685333e+11
-1.9041876285e+12,-6.0894877339e+11
-1.9069334846e+12,-6.1040054385e+11
-1.9096789353e+12,-6.1185216466e+11
-1.9124239814e+12,-6.1330363579e+11
-1.9151686235e+12,-6.1475495720e+11
-1.9179128624e+12,-6.1620612884e+11
